ID_resp,gender,personality,ID_question,positive/negative,simple/detailed
1,M,IN,1,POS,SIM
1,M,IN,2,POS,SIM
1,M,IN,3,NEG,DET
1,M,IN,4,POS,SIM
1,M,IN,5,POS,DET
1,M,IN,6,POS,SIM
1,M,IN,7,POS,SIM
2,F,IN,1,NEG,SIM
2,F,IN,2,NEG,SIM
2,F,IN,3,NEG,SIM
2,F,IN,4,NEG,SIM
2,F,IN,5,NEG,SIM
2,F,IN,6,POS,SIM
2,F,IN,7,POS,SIM
3,F,EX,1,NEG,DET
3,F,EX,2,NEG,SIM
3,F,EX,3,POS,DET
3,F,EX,4,NEG,DET
3,F,EX,5,NEG,SIM
3,F,EX,6,NEG,DET
3,F,EX,7,POS,SIM
4,F,EX,1,NEG,DET
4,F,EX,2,NEG,SIM
4,F,EX,3,NEG,DET
4,F,EX,4,POS,SIM
4,F,EX,5,POS,DET
4,F,EX,6,POS,DET
4,F,EX,7,POS,SIM
5,M,IN,1,NEG,SIM
5,M,IN,2,NEG,SIM
5,M,IN,3,NEG,SIM
5,M,IN,4,POS,SIM
5,M,IN,5,POS,DET
5,M,IN,6,POS,SIM
5,M,IN,7,POS,SIM
6,F,IN,1,POS,SIM
6,F,IN,2,NEG,SIM
6,F,IN,3,NEG,SIM
6,F,IN,4,POS,DET
6,F,IN,5,POS,DET
6,F,IN,6,POS,SIM
6,F,IN,7,POS,SIM
7,M,EX,1,NEG,DET
7,M,EX,2,NEG,SIM
7,M,EX,3,NEG,DET
7,M,EX,4,POS,DET
7,M,EX,5,POS,DET
7,M,EX,6,POS,DET
7,M,EX,7,NEG,SIM
8,F,EX,1,NEG,DET
8,F,EX,2,NEG,SIM
8,F,EX,3,POS,SIM
8,F,EX,4,POS,SIM
8,F,EX,5,POS,SIM
8,F,EX,6,POS,DET
8,F,EX,7,POS,DET
9,F,IN,1,NEG,SIM
9,F,IN,2,NEG,SIM
9,F,IN,3,POS,SIM
9,F,IN,4,POS,DET
9,F,IN,5,NEG,SIM
9,F,IN,6,POS,SIM
9,F,IN,7,POS,SIM
10,F,EX,1,POS,DET
10,F,EX,2,POS,DET
10,F,EX,3,POS,DET
10,F,EX,4,POS,DET
10,F,EX,5,NEG,SIM
10,F,EX,6,POS,DET
10,F,EX,7,POS,DET
11,F,IN,1,POS,DET
11,F,IN,2,POS,SIM
11,F,IN,3,POS,SIM
11,F,IN,4,POS,SIM
11,F,IN,5,NEG,SIM
